Ensembl Protein ID	HGNC symbol
ENSP00000215886	LGALS2
ENSP00000215904	PDXP
ENSP00000215906	ASPHD2
ENSP00000215909	LGALS1
ENSP00000215912	PIK3IP1
ENSP00000215917	SRRD
ENSP00000215939	CRYBB1
ENSP00000215941	ANKRD54
ENSP00000215956	NHP2L1
ENSP00000215957	MICALL1
ENSP00000215980	CENPM
ENSP00000216024	DMC1
ENSP00000216027	HSCB
ENSP00000216029	CBY1
ENSP00000216034	TOMM22
ENSP00000216036	RTDR1
ENSP00000216037	XBP1
ENSP00000216038	RTCB
ENSP00000216039	JOSD1
ENSP00000216044	GTPBP1
ENSP00000216064	SUN2
ENSP00000216068	DNAL4
ENSP00000216071	C22orf31
ENSP00000216075	MIOX
ENSP00000216080	LMF2
ENSP00000216085	RHBDD3
ENSP00000216099	APOBEC3D
ENSP00000216101	RASL10A
ENSP00000216106	HMGXB4
ENSP00000216115	BIK
ENSP00000216117	HMOX1
ENSP00000216121	NIPSNAP1
ENSP00000216122	MCM5
ENSP00000216124	ARSA
ENSP00000216127	RASD2
ENSP00000216129	TTLL12
ENSP00000216133	CBX7
ENSP00000216139	ACR
ENSP00000216144	CABP7
ENSP00000216160	TAB1
ENSP00000216177	PNPLA5
ENSP00000216180	PNPLA3
ENSP00000216181	MYH9
ENSP00000216185	TXN2
ENSP00000216187	FOXRED2
ENSP00000216190	EIF3D
ENSP00000216194	ADSL
ENSP00000216200	PVALB
ENSP00000216211	UPK3A
ENSP00000216214	FAM118A
ENSP00000216218	ST13
ENSP00000216223	IL2RB
ENSP00000216225	RBX1
ENSP00000216237	L3MBTL2
ENSP00000216241	CHADL
ENSP00000216252	PHF5A
ENSP00000216254	ACO2
ENSP00000216259	PMM1
ENSP00000216264	CERK
ENSP00000216267	BRD1
ENSP00000216268	ZBED4
ENSP00000216271	HDAC10
ENSP00000216274	RIPK3
ENSP00000216277	PAPOLA
ENSP00000216286	NID2
ENSP00000216294	SNAPC1
ENSP00000216297	SUPT16H
ENSP00000216327	ABHD4
ENSP00000216330	FKBP3
ENSP00000216336	CTSG
ENSP00000216338	GZMH
ENSP00000216341	GZMB
ENSP00000216361	COCH
ENSP00000216366	AP4S1
ENSP00000216367	POLE2
ENSP00000216373	SOS2
ENSP00000216378	CDKL1
ENSP00000216392	PYGL
ENSP00000216410	GNPNAT1
ENSP00000216416	CNIH1
ENSP00000216420	CGRRF1
ENSP00000216442	ATP6V1D
ENSP00000216445	C14orf105
ENSP00000216446	PLEK2
ENSP00000216452	PIGH
ENSP00000216455	PSMA3
ENSP00000216456	VTI1B
ENSP00000216465	GSTZ1
ENSP00000216468	TMED8
ENSP00000216471	SAMD15
ENSP00000216479	AHSA1
ENSP00000216484	SPTLC2
ENSP00000216487	RIN3
ENSP00000216489	ALKBH1
ENSP00000216492	CHGA
ENSP00000216500	DHRS7
ENSP00000216513	SIX4
ENSP00000216540	SLC10A1
ENSP00000216554	EIF5
ENSP00000216605	MTHFD1
ENSP00000216629	BDKRB1
ENSP00000216639	VRK1
ENSP00000216714	APEX1
ENSP00000216727	PABPN1
ENSP00000216733	EFS
ENSP00000216756	CINP
ENSP00000216774	SRP54
ENSP00000216775	CPNE6
ENSP00000216780	PCK2
ENSP00000216797	NFKBIA
ENSP00000216799	EMC9
ENSP00000216802	PSME2
ENSP00000216807	BRMS1L
ENSP00000216832	PNN
ENSP00000216840	RABGGTA
ENSP00000216862	CYP24A1
ENSP00000216879	NSFL1C
ENSP00000216911	AURKA
ENSP00000216923	ZFP64
ENSP00000216951	GSS
ENSP00000216962	PYGB
ENSP00000216968	PROCR
ENSP00000217026	MYBL2
ENSP00000217043	R3HDML
ENSP00000217073	PABPC1L
ENSP00000217086	SALL4
ENSP00000217109	CSTF1
ENSP00000217121	TPD52L2
ENSP00000217130	ZNF512B
ENSP00000217131	CTSZ
ENSP00000217133	TUBB1
ENSP00000217159	SLCO4A1
ENSP00000217169	BIRC7
ENSP00000217173	UBOX5
ENSP00000217182	EEF1A2
ENSP00000217185	PTK6
ENSP00000217188	SRMS
ENSP00000217195	C20orf27
ENSP00000217233	TRIB3
ENSP00000217244	CSNK2A1
ENSP00000217246	MACROD2
ENSP00000217254	SLC52A3
ENSP00000217260	RSPO4
ENSP00000217270	PROKR2
ENSP00000217289	FERMT1
ENSP00000217305	PDYN
ENSP00000217320	TLDC2
ENSP00000217372	CDK5RAP1
ENSP00000217381	SNTA1
ENSP00000217386	OXT
ENSP00000217402	CHMP4B
ENSP00000217407	LBP
ENSP00000217420	SLC32A1
ENSP00000217423	CST4
ENSP00000217426	AHCY
ENSP00000217428	SPINT3
ENSP00000217429	FAM83D
ENSP00000217446	PIGU
ENSP00000217455	ACOT8
ENSP00000217456	APMAP
ENSP00000217515	TXNL1
ENSP00000217652	MYL12A
ENSP00000217740	RNF125
ENSP00000217800	POLI
ENSP00000217893	TAF9
ENSP00000217901	IDH3G
ENSP00000217909	SLC25A43
ENSP00000217939	MXRA5
ENSP00000217957	VSIG1
ENSP00000217958	PSMD10
ENSP00000217961	STS
ENSP00000217964	TBL1X
ENSP00000217971	PGRMC1
ENSP00000217999	RHOXF1
ENSP00000218004	NXT2
ENSP00000218006	GUCY2F
ENSP00000218008	ATP1B4
ENSP00000218032	TLR8
ENSP00000218056	WDR13
ENSP00000218068	PAGE4
ENSP00000218075	GLRA2
ENSP00000218089	STAG2
ENSP00000218099	F9
